1489088	E6	NC_001357	+	105	581	105	581	1	105	581
1489089	E7	NC_001357	+	590	907	590	907	1	590	907
1489084	E1	NC_001357	+	914	2887	914	2887	1	914	2887
1489085	E2	NC_001357	+	2817	3914	2817	3914	1	2817	3914
1489086	E4	NC_001357	+	3418	3684	3418	3684	1	3418	3684
1489087	E5	NC_001357	+	3936	4157	3936	4157	1	3936	4157
1489091	L2	NC_001357	+	4244	5632	4244	5632	1	4244	5632
1489090	L1	NC_001357	+	5430	7136	5430	7136	1	5430	7136
A	A	NC_001357	+ 	102	4235	102	4235	2	102,3434	929,4235
B	B	NC_001357	+ 	102	4235	102	4235	2	102,416	233,4235
C	C	NC_001357	+ 	102	4235	102	4235	3	102,416,3434	233,929,4235
D	D	NC_001357	+ 	102	4235	102	4235	2	102,3434	233,4235
E	E	NC_001357	+ 	102	4235	102	4235	2	102,2779	929,4235
F	F	NC_001357	+ 	102	4235	102	4235	3	102,416,2779	233,929,4235
G	G	NC_001357	+ 	102	4235	102	4235	2	102,2779	233,4235
H	H	NC_001357	+ 	102	4235	102	4235	2	102,3465	929,4235
I	I	NC_001357	+ 	102	4235	102	4235	3	102,416,3465	233,929,4235
J	J	NC_001357	+ 	1202	4235	1202	4235	2	1202,3434	1357,4235
K	K	NC_001357	+ 	811	4235	811	4235	2	811,3434	929,4235
L	L	NC_001357	+ 	811	7278	811	7278	2	811,3434	929,7278
M	M	NC_001357	+ 	811	7278	811	7278	3	811,3434,5613	929,3696,7278
N	N	NC_001357	+ 	811	7278	811	7278	3	811,3434,5776	929,3786,7278
O	O	NC_001357	+ 	811	7278	811	7278	2	811,5613	929,7278
